State,County,Life_expectancy,Deaths_Premature_age_adjusted_mortality,Child_mortality_deaths,Infant_mortality_deaths,percentage_Frequent_Physical_Distress,percentage_Adults_with_Diabetes,HIV_Cases,Food_insecurity,Limited_access_to_healthy_foods,Drug_overdose_deaths,Motor_vehicle_crash_deaths,percentage_Insufficient_Sleep,Uninsured_adults,Other_Primary_Care_Provider_Rate,High_School_Graduation_Rate,percentage_Disconnected_Youth,Average_Grade_Performance_Reading_scores,Average_Grade_Performance_Math_scores,Segregation_index_School_segregation,Spending_perpupil_School_funding_adequacy,Gender_pay_gap,Median_household_income,percentage_Enrolled_in_Free_or_Reduced_Lunch_Children_eligible_for_free_or_reduced_price_lunch,Segregation_index_Residential_segregation__Black/white,percentage_household_income_required_for_childcare_expenses_Childcare_cost_burden,Childcare_centers,Homicide_Rate,Suicides,Firearm_fatalities,Juvenile_Arrest_Rate,Traffic_Volume,Homeowners,Severe_housing_cost_burden,percentage_Broadband_Access,Population,percentage_female,rural_residents
Alabama,,74.8,88086,2912,3240,15,12,13875,788250,418731,2572,6902,40,425108,101,92,8,2.9,2.7,0.29,10102,0.74,53958,55,57,24,,11,4043,5451,,220,1306505,213588,80,4921532,51.7,1957932
Alabama,Autauga,76.6,836,27,30,14,11,104,8670,7106,14,74,38,4050,45,89,,3.1,2.9,0.06,8600,0.72,67565,45,28,18,15,6,52,49,8,155,16088,2862,83,56145,51.5,22921
Alabama,Baldwin,77.7,3377,97,84,13,9,328,28590,14466,118,252,36,17611,70,90,6,3.2,3,0.09,10046,0.75,71135,46,40,17,66,3,214,153,26,134,64716,9296,85,229287,51.6,77060
Alabama,Barbour,72.9,539,17,,19,17,105,5250,2865,,50,41,2027,61,85,,2.4,2,0.04,8813,0.73,38866,60,20,24,8,11,20,32,24,102,5775,1055,65,24589,47.2,18613
Alabama,Bibb,73.6,460,15,,16,13,40,3680,102,16,41,40,1693,145,92,,2.7,2.6,0.09,9909,0.79,50907,59,48,21,5,10,18,20,,27,5428,650,76,22136,46.8,15663
Alabama,Blount,74.2,1143,38,31,16,11,35,8380,1440,31,124,39,6076,26,95,14,2.9,2.8,0.11,9021,0.85,55203,52,52,22,16,7,61,59,6,43,16132,1722,80,57879,50.6,51562
Alabama,Bullock,73.8,203,,,18,18,52,1610,3529,,36,45,706,90,93,,2.1,2,0.01,10229,0.68,33124,75,31,36,5,15,,13,12,40,2531,387,61,9976,45.3,5607
Alabama,Butler,73.5,441,14,,17,15,65,3280,1449,,53,42,1621,82,93,,2.5,2.1,0.11,9541,0.82,42268,80,29,28,5,19,13,26,,58,4872,668,74,19504,53.4,14921
Alabama,Calhoun,72.8,2476,57,71,16,13,262,19660,18258,66,176,38,10100,71,93,7,2.9,2.8,0.21,10363,0.78,50259,60,46,19,33,10,126,149,32,171,31370,4144,80,113469,51.9,39955
Alabama,Chambers,73.8,686,24,24,16,14,115,5190,2772,10,59,41,3001,15,87,13,2.6,2.5,0.16,10198,0.75,39318,71,33,33,12,11,45,45,26,115,9133,1268,75,32865,52.3,16816
Alabama,Cherokee,74,600,13,,16,11,27,4170,1302,14,58,38,2409,76,92,,2.8,2.6,0.07,10804,0.77,50388,61,42,17,7,8,30,33,15,1,8477,649,75,26294,50.4,22282
Alabama,Chilton,74.4,848,19,22,17,12,50,7590,1907,24,78,39,4575,27,88,,2.8,2.7,0.07,8791,0.8,52693,65,35,22,10,5,31,33,,42,12878,1679,75,44397,51,37858
Alabama,Choctaw,74.2,272,,,17,15,25,2440,1808,,36,42,1060,40,93,,2.5,2.1,0.14,11225,0.5,41649,75,43,26,7,,,,8,1,4350,319,63,12418,52.7,13859
Alabama,Clarke,71.7,536,22,,18,15,38,4490,4740,10,54,43,2052,77,91,19,3,2.8,0.03,10634,0.67,44178,71,24,28,10,9,24,27,,47,6761,935,63,23291,52.7,19628
Alabama,Clay,72.9,285,,,18,13,21,2200,414,,35,39,1371,46,88,,2.8,2.5,0.01,9441,0.78,44763,65,24,21,6,,16,15,7,0,3947,326,72,13112,51.3,13932
Alabama,Cleburne,74.3,301,11,,16,11,13,2710,303,,34,38,1357,13,98,,3.1,3.1,0.12,9872,0.76,50134,55,38,19,7,,13,18,,22,4515,390,71,14967,50.9,14972
Alabama,Coffee,75.3,895,24,23,14,12,76,8130,4491,14,67,37,5167,75,95,9,3,2.9,0.08,9986,0.67,54203,48,41,17,16,6,39,53,17,109,13527,1922,83,53230,50.7,23573
Alabama,Colbert,73.9,1138,27,39,15,12,58,9040,4806,20,93,40,4388,153,93,,3,2.9,0.07,11274,0.72,54185,55,31,24,23,5,53,59,23,156,15609,2113,73,55411,52.1,23891
Alabama,Conecuh,71.2,335,,,17,15,28,1990,1758,,26,44,1033,25,93,,2.3,2.3,0.23,10704,0.63,34664,66,21,35,3,15,,17,8,29,3426,327,62,11851,52.2,10708
Alabama,Coosa,73.9,253,11,,16,13,19,1620,890,,33,41,828,19,,,2.5,2.3,0.01,11482,0.66,46509,64,54,20,2,16,,10,,20,3256,210,76,10650,49.9,11539
Alabama,Covington,72.9,899,26,,16,12,49,6730,2070,18,66,38,3323,95,96,6,2.9,2.7,0.09,9790,0.75,43544,56,42,27,13,6,36,42,,52,11137,1379,75,36930,51.7,26304
Alabama,Crenshaw,72.6,337,,,16,13,20,2150,1878,,29,39,1338,88,93,,2.8,2.6,0.03,9334,0.75,45927,64,16,21,5,,,15,17,53,3842,437,67,13681,51.4,13906
Alabama,Cullman,73.9,1654,36,37,16,11,66,13610,2287,49,145,37,8408,97,95,14,3.1,3,0.05,9949,0.67,51844,51,88,25,23,4,92,70,11,72,23734,2576,79,84515,50.6,58889
Alabama,Dale,74.9,873,28,36,15,13,132,8790,4420,13,73,41,4446,74,96,12,2.9,2.7,0.1,9703,0.7,48493,62,32,19,10,6,50,55,10,76,11380,2173,81,48959,51,25572
Alabama,Dallas,71.1,934,17,22,18,17,144,7430,3842,,95,44,3055,80,93,18,2.5,2.2,0.32,11203,0.74,37679,83,55,31,22,33,25,78,35,108,8731,2040,72,36098,53.8,19999
Alabama,DeKalb,73.8,1356,42,45,18,13,61,12300,,55,114,39,10032,71,94,10,2.7,2.7,0.16,9314,0.74,47156,66,57,18,14,5,83,68,,41,19275,2060,78,71658,50.3,64091
Alabama,Elmore,75.3,1345,44,46,14,12,186,11280,3953,26,106,39,5242,39,91,14,3,3,0.08,9205,0.76,62524,49,32,19,24,8,88,99,,86,22400,2814,84,82158,51.7,42973
Alabama,Escambia,72.2,839,27,31,18,15,80,6570,2175,36,60,43,3601,74,90,8,2.9,2.7,0.2,10591,0.78,41212,67,29,30,11,13,43,43,,65,8593,1391,66,36281,49.8,24337
