State,Life_expectancy,Deaths_Premature_age_adjusted_mortality,Child_mortality_deaths,Infant_mortality_deaths,percentage_Frequent_Physical_Distress,percentage_Adults_with_Diabetes,HIV_Cases,Food_insecurity,Limited_access_to_healthy_foods,Drug_overdose_deaths,Motor_vehicle_crash_deaths,percentage_Insufficient_Sleep,Uninsured_adults,Other_Primary_Care_Provider_Rate,High_School_Graduation_Rate,percentage_Disconnected_Youth,Average_Grade_Performance_Reading_scores,Average_Grade_Performance_Math_scores,Segregation_index_School_segregation,Spending_perpupil_School_funding_adequacy,Gender_pay_gap,Median_household_income,percentage_Enrolled_in_Free_or_Reduced_Lunch_Children_eligible_for_free_or_reduced_price_lunch,Segregation_index_Residential_segregation_Black/white,percentage_household_income_required_for_childcare_expenses_Childcare_cost_burden,Childcare_centers,Homicide_Rate,Suicides,Firearm_fatalities,Juvenile_Arrest_Rate,Traffic_Volume,Homeowners,Severe_housing_cost_burden,percentage_Broadband_Access,Population,percentage_female,rural_residents
Alabama,74.8,88086,2912,3240,15,12,13875,788250,418731,2572,6902,40,425108,101,92,8,2.9,2.7,0.29,10102,0.74,53958,55,57,24,,11,4043,5451,,220,1306505,213588,80,4921532,51.7,1957932
Alaska,78.6,8663,472,429,10,7,724,86970,55887,402,529,33,66006,167,80,10,,,0.25,18545,0.83,79961,43,56,20,,8,991,866,30,259,165376,29087,87,731158,47.8,241338
Arizona,79.1,90822,3255,3213,12,10,17296,918940,554825,6127,6554,35,648267,109,78,8,,,0.25,8573,0.84,64652,51,49,23,,6,6810,5776,,479,1727176,346027,87,7421401,50.3,651358
Arkansas,75.5,50906,1883,1993,16,12,5939,499950,292058,1378,3956,37,223118,101,88,9,2.9,2.8,0.29,10179,0.81,51146,66,66,23,,9,2869,2980,,167,770477,118606,77,3030522,50.9,1278329
California,81,378883,12544,13801,11,9,132911,4011960,1204935,20454,27186,35,2657697,73,88,7,2.9,2.7,0.26,13582,0.87,83001,59,57,27,,5,21628,15801,7,1991,7241318,2487212,89,39368078,50.3,1880350
Colorado,80,58091,2243,2132,10,7,13025,566440,253692,3566,4258,30,386305,122,81,6,3.1,3,0.19,10957,0.83,77688,41,64,28,,4,6238,4248,14,554,1415324,291404,90,5807719,49.6,696435
Connecticut,80.1,38493,991,1154,10,8,10597,428800,152556,3654,1987,34,176870,145,89,5,3.2,3,0.22,20556,0.81,79723,43,62,23,,3,2018,955,,594,915408,218613,87,3557006,51.2,429155
Delaware,78,13471,416,519,12,11,3381,114190,56525,1280,856,37,51389,140,89,6,3,3,0.13,16302,0.85,71335,,45,24,,7,579,557,46,518,264915,47634,87,986809,51.7,149985
District of Columbia,78,8978,347,446,10,10,14041,70480,9664,989,272,36,21358,198,69,6,2.9,2.8,0.35,22406,0.88,91957,,69,24,277,20,223,640,24,3580,122648,46785,86,712816,52.6,0
Florida,79.7,282304,8582,9348,12,9,113478,2567300,1427412,17197,21476,37,2420214,134,87,7,3.2,3.3,0.23,9650,0.86,61724,54,56,27,,6,16507,14240,24,552,5250878,1297346,85,21733312,51.1,1661466
Georgia,77.3,143179,5682,6449,13,11,56446,1279310,971060,4728,10424,38,1213181,122,83,8,3,2.9,0.26,11181,0.81,62800,60,56,21,,8,7496,8466,,371,2453159,506601,84,10710017,51.4,2415502
Hawaii,82.3,14779,559,673,10,9,2387,162220,72883,729,748,43,45992,69,85,9,2.9,3,0.11,,0.84,86878,46,62,21,,3,984,276,,1174,282037,81247,87,1407006,49.9,109812
Idaho,79.2,19254,837,785,12,9,1234,179580,124160,802,1607,33,165741,122,81,7,3.1,3,0.14,7994,0.75,62603,37,81,20,,2,1944,1392,,262,459428,67600,86,1826913,49.9,461212
Illinois,78.6,155530,5590,6363,11,10,35841,1211410,619801,9061,7905,34,803964,99,,6,3,2.9,0.37,15786,0.79,71243,49,72,25,,8,7171,7527,8,630,3237778,661607,85,12587530,50.9,1477079
Indiana,76.5,97951,3652,4034,13,11,11638,834530,561172,5649,5834,38,460946,110,87,6,3.1,3.2,0.26,10347,0.76,60794,48,68,18,,7,5200,5107,19,385,1808293,269791,83,6754953,50.7,1786702
Iowa,78.7,38226,1337,1338,9,9,2888,297800,172835,1071,2454,33,126860,119,91,6,3.1,3.1,0.19,11339,0.78,62362,42,62,24,,3,2497,1508,37,260,906967,122961,83,3163561,50.2,1096099
Kansas,77.8,37334,1504,1598,11,10,3174,351090,240797,1238,2781,34,216421,133,87,6,3.1,3,0.21,11383,0.78,63214,47,58,22,,5,2675,2170,,292,756309,114103,84,2913805,50.2,736157
Kentucky,75.1,78388,2201,2406,16,12,7638,644540,277473,4778,5383,42,234983,161,92,8,3.1,3,0.21,11297,0.79,54074,56,62,28,,6,3879,3848,,303,1181021,187355,82,4477251,50.7,1806024
Louisiana,75.2,77733,3001,3267,14,11,21289,718360,483383,4303,5487,38,351177,113,81,10,,,0.27,11903,0.71,51730,57,57,28,,14,3460,5182,,330,1167628,229361,79,4645318,51.3,1215567
Maine,78.6,18799,430,514,13,9,1649,166910,47048,1212,1101,35,91897,165,87,6,3.1,3,0.17,14346,0.82,59145,42,75,28,,2,1278,770,12,169,414939,62441,84,1350141,51,814819
Maryland,78.6,75564,2599,3144,9,10,33378,640180,205286,7464,3753,38,304985,123,87,6,,,0.27,15148,0.86,88589,42,63,21,,9,3107,3716,27,734,1495828,302705,89,6055802,51.6,739221
Massachusetts,80.2,71659,1690,1970,10,7,21065,566930,257163,6753,2754,34,175976,149,88,5,3.4,3.2,0.26,17620,0.81,87288,,63,39,,2,3314,1277,,1434,1654892,401439,88,6893574,51.4,525640
Michigan,77.5,141031,4625,5052,13,10,16586,1299020,630370,7735,6916,40,495823,124,83,7,3,2.8,0.35,11256,0.78,61352,50,73,38,,6,7280,6352,24,655,2855485,471885,84,9966555,50.8,2513683
Minnesota,80.4,55372,2122,2304,9,8,8816,432170,302030,2478,2997,29,231346,137,84,4,3.1,3.3,0.25,12681,0.82,75489,36,64,22,,2,3848,2312,22,435,1588611,230302,87,5657342,50.2,1417614
Mississippi,73.9,56052,2176,2243,13,13,9832,550370,337505,1290,5110,38,330086,136,85,9,3,3,0.29,9277,0.75,47368,75,52,22,,13,2091,3428,,121,767972,131403,76,2966786,51.6,1503073
Missouri,76.6,92687,3126,3176,12,9,12803,809680,433370,5068,6396,35,504891,112,91,7,3,3,0.29,10804,0.79,58812,50,72,16,,10,5777,6440,28,368,1637374,264308,83,6151548,50.9,1770556
Montana,78.4,14174,463,445,13,6,669,111080,71741,430,1284,31,72612,142,86,8,3.1,3,0.27,11911,0.77,57730,40,84,31,,4,1432,1071,38,189,298728,51656,83,1080577,49.6,436401
Nebraska,79,21615,939,1008,10,9,2236,225580,103177,513,1686,32,127060,141,87,4,3.1,3.2,0.26,12298,0.78,64735,46,65,25,,3,1384,916,21,358,507291,76596,86,1937552,50,490655
Nevada,78.1,41546,1314,1374,13,10,10733,373370,166038,2167,2314,37,290808,92,85,10,2.9,2.8,0.15,9338,0.85,64608,65,48,30,,7,3178,2593,,580,644864,170995,86,3138259,49.9,156754
New Hampshire,79.6,16248,331,333,13,8,1306,119990,55706,1252,783,35,74524,159,89,5,3.2,3.2,0.14,17512,0.8,81415,25,67,24,,1,1277,717,,395,383839,65769,89,1366275,50.4,522598
New Jersey,79.5,100993,2640,3026,11,10,35131,762530,321074,8545,4147,38,598813,73,91,5,3.3,3.2,0.31,19898,0.79,87095,38,63,28,,4,3699,2194,15,834,2094427,561690,88,8882371,51.1,467768
New Mexico,76.9,31438,1015,941,14,11,3734,298030,268515,1920,2676,33,177166,113,76,10,,2.7,0.26,10202,0.82,52285,72,52,31,,9,2525,2165,,361,539082,101651,78,2106319,50.5,464818
New York,80.3,213529,6084,7073,11,9,126630,2090550,462057,12279,7691,39,886117,137,83,6,,,0.35,25188,0.87,73354,56,74,30,,3,8433,4349,7,1684,4014516,1372817,85,19336776,51.4,2349997
North Carolina,77.7,143360,5094,5863,12,11,33009,1417440,715223,7671,10535,36,1014991,144,87,7,3.1,3.1,0.2,9865,0.84,59616,58,52,29,,7,7181,7351,,228,2649849,485106,83,10600823,51.4,3233727
North Dakota,78.8,8506,394,450,9,8,493,51380,46121,266,737,33,34512,166,86,5,3.1,3.1,0.23,13535,0.78,64289,32,56,26,,3,711,475,,220,200671,30974,83,765309,48.8,269719
Ohio,76.5,177010,5889,6699,13,10,23179,1547110,792538,13435,8512,41,622220,120,83,6,3.1,3,0.3,12576,0.79,60360,36,69,27,,6,8724,8010,33,404,3128172,530028,85,11693217,51,2546810
Oklahoma,75.5,64342,2311,2573,14,11,6351,583570,332606,2123,4751,38,465267,109,85,8,2.9,2.9,0.18,9340,0.75,54512,59,57,26,,8,4052,3675,,206,986555,155668,82,3980783,50.5,1266322
Oregon,79.7,49190,1375,1461,12,8,7280,486200,178761,1965,3302,33,258624,100,81,8,2.9,2.8,0.16,11782,0.82,67832,48,66,23,,3,4176,2718,28,477,1031006,242645,88,4241507,50.4,726692
Pennsylvania,78,172944,5030,5717,12,9,36494,1353730,582722,13960,8380,39,586629,135,87,6,3.1,3.1,0.32,15351,0.8,64898,51,71,26,,6,9597,8138,18,567,3522269,624394,84,12783254,51,2711092
Rhode Island,79.4,12191,330,394,12,9,2653,101100,49170,1021,475,37,38300,131,84,4,3.1,3,0.24,16681,0.81,73919,48,60,23,,2,578,231,,850,255450,60772,87,1057125,51.3,97524
South Carolina,76.4,82015,2618,2710,13,12,17589,555630,450982,3991,6917,39,479238,109,81,8,2.9,2.9,0.17,11098,0.78,57216,63,48,20,,9,4183,4822,27,179,1375391,237793,81,5218040,51.6,1557555
South Dakota,78.2,10862,579,546,10,9,652,91510,69046,226,994,30,69945,170,85,6,3.1,3,0.26,10053,0.78,61149,36,70,26,,4,889,559,29,192,236495,31169,83,892717,49.5,352933
