State,County,Premature_death,Percentage_Fair_or_Poor_Health,Average_Number_of_Physically_Unhealthy_Days,Average_Number_of_Mentally_Unhealthy_Days,Percentage_Low_birthweight,Percentage_Smokers,Percentage_Adults_with_Obesity,Food_Environment_Index,Percentage_Physically_Inactive,Percentage_With_Access_to_Exercise_Opportunities,Alcohol_impaired_driving_deaths,Sexually_transmitted_infections_Chlamydia_Cases,Teen_Birth_Rate,Uninsured,Primary_care_physicians,Dentists,Mental_health_providers,Preventable_Hospitalization_Rate,Percentage_With_Annual_Mammogram,Percentage_Vaccinated,High_school_completion,Some_college,Unemployment,Percentage_Children_in_Poverty,Income_inequality_80th_Percentile_Income,Children_in_single-parent_households,Social_associations,Annual_Average_Violent_Crimes,Injury_deaths,Air_pollution_particulate_matter_Average_Daily_PM2.5,Drinking_water_violations,Percentage_Severe_Housing_Problems,Percentage_Drive_Alone_to_Work,Long_commute_driving_alone
Alabama,,88086,21,4.8,5.6,10,21,36,5.3,31,57,1255,31228,28,457718,3228,2429,5818,4875,42,42,2905059,761762,131065,21,106150,339392,5960,23307,21249,9,,14,85,2095195
Alabama,Autauga,836,20,4.5,5.4,10,20,35,6.5,32,63,18,323,23,4366,25,19,21,4931,42,42,33587,8733,1262,15,109878,3628,72,149,191,9.5,No,15,87,24949
Alabama,Baldwin,3377,17,4.2,5.2,8,20,30,7.4,28,75,57,750,24,19085,154,112,228,3578,44,46,140740,33289,5425,12,120479,8613,226,408,817,7.2,No,12,83,97098
Alabama,Barbour,539,31,5.9,6.1,12,28,40,5.7,42,50,12,221,35,2194,9,9,6,4548,46,36,13300,2566,605,38,79175,2822,18,106,103,9,No,15,84,8555
Alabama,Bibb,460,25,5.2,5.8,10,25,41,7.6,38,11,6,121,34,1824,13,6,6,6329,37,33,12931,2392,573,22,87594,1666,20,20,116,9.4,No,11,88,8107
Alabama,Blount,1143,23,4.9,5.7,8,22,39,7.8,33,23,14,234,30,6663,13,11,10,4260,37,40,32976,7843,1008,19,100031,3012,43,279,303,9.4,No,10,88,22636
Alabama,Bullock,203,31,5.5,5.7,15,25,44,4.6,41,2,8,75,40,752,3,2,2,3775,41,28,5084,640,265,39,88821,1333,8,33,50,9,No,17,80,3985
Alabama,Butler,441,27,5.3,6,13,25,40,6.9,41,42,19,207,39,1755,5,7,13,5885,39,28,11934,1777,801,31,98464,1809,18,117,104,8.8,No,13,86,7894
Alabama,Calhoun,2476,24,4.9,5.7,9,23,36,5.9,33,49,16,829,30,10767,70,77,161,5234,35,39,67180,16656,3260,17,97379,7621,152,871,528,9.4,No,13,85,47349
Alabama,Chambers,686,25,5.1,5.8,13,24,40,7,37,57,12,240,37,3178,15,7,1,4068,37,43,19631,4310,1078,26,86774,2205,60,181,169,9.3,No,15,87,14187
Alabama,Cherokee,600,24,5.2,6,8,25,34,7.2,36,25,8,72,33,2580,10,4,6,5476,40,49,15855,2890,530,23,87087,1021,22,86,128,9.2,Yes,11,86,10206
Alabama,Chilton,848,25,5.2,5.9,9,24,39,7,35,40,15,150,43,4995,10,13,27,4755,41,42,24668,4813,974,21,93180,2723,66,223,195,9.5,No,15,86,17573
Alabama,Choctaw,272,27,5.4,6.1,12,25,40,5.8,38,24,12,63,30,1158,5,6,1,3292,50,33,7660,1712,308,29,88929,1119,27,17,62,9.2,No,12,86,4338
Alabama,Clarke,536,28,5.4,6,13,25,44,5.4,40,33,14,184,38,2209,11,8,21,4617,35,28,13799,2314,700,29,91216,1862,38,116,118,9.2,Yes,13,89,8056
Alabama,Clay,285,27,5.5,6.2,8,26,37,7.3,37,57,9,74,34,1480,5,2,2,4703,39,41,7615,1096,245,24,91273,689,15,42,69,7,No,10,89,5285
Alabama,Cleburne,301,23,5.1,5.9,8,24,36,7.1,34,41,8,35,31,1506,3,,8,5732,27,40,8661,1728,262,20,89653,590,13,16,83,9,No,11,86,5697
Alabama,Coffee,895,22,4.6,5.4,9,21,35,6.9,33,55,16,334,26,5604,25,18,46,4515,43,35,30778,8583,944,21,109562,3705,68,142,184,8.6,No,10,86,22423
Alabama,Colbert,1138,22,4.8,5.7,11,22,36,6.7,33,43,19,322,30,4721,34,29,24,6652,39,47,33487,7267,1550,21,89389,3692,90,218,212,7.5,No,12,87,23216
Alabama,Conecuh,335,28,5.4,6,14,25,41,6.4,40,36,4,72,31,1112,5,2,7,11154,37,43,7498,1232,331,35,76083,1297,9,48,65,8.8,No,10,88,3951
