State,Premature_death,Percentage_Fair_or_Poor_Health,Average_Number_of_Physically_Unhealthy_Days,Average_Number_of_Mentally_Unhealthy_Days,Percentage_Low_birthweight,Percentage_Smokers,Percentage_Adults_with_Obesity,Food_Environment_Index,Percentage_Physically_Inactive,Percentage_With_Access_to_Exercise_Opportunities,Alcohol_impaired_driving_deaths,Sexually_transmitted_infections_Chlamydia_Cases,Teen_Birth_Rate,Uninsured,Primary_care_physicians,Dentists,Mental_health_providers,Preventable_Hospitalization_Rate,Percentage_With_Annual_Mammogram,Percentage_Vaccinated,High_school_completion,Some_college,Unemployment,Percentage_Children_in_Poverty,Income_inequality_80th_Percentile_Income,Children_in_single-parent_households,Social_associations,Annual_Average_Violent_Crimes,Injury_deaths,Air_pollution_particulate_matter_Average_Daily_PM,Drinking_water_violations,Percentage_Severe_Housing_Problems,Percentage_Drive_Alone_to_Work,Long_commute_driving_alone
Alabama,88086,21,4.8,5.6,10,21,36,5.3,31,57,1255,31228,28,457718,3228,2429,5818,4875,42,42,2905059,761762,131065,21,106150,339392,5960,23307,21249,9,,14,85,2095195
Alaska,8663,16,3.6,3.9,6,17,31,7,22,65,138,6254,23,79260,714,744,4542,2509,36,37,450260,138592,27196,12,144129,36389,843,5325,3673,6.2,,21,68,351387
Arizona,90822,18,4,4.7,7,16,32,6.5,24,82,1112,43058,22,789960,4857,4681,11215,2666,41,45,4258137,1209223,282069,18,119971,428549,4070,29750,32367,5.8,,18,75,3179988
Arkansas,50906,24,5,5.6,9,21,38,4.8,30,56,706,17196,33,261617,2052,1452,7597,4178,39,47,1766362,451914,81952,21,99117,198144,3627,15352,12833,9.1,,14,82,1294646
California,378883,18,3.7,3.9,7,10,26,8.9,22,93,5185,236719,16,2947957,31852,34789,161625,3067,37,43,22378605,7515252,1908093,15,160999,2004812,23575,164253,108182,12.9,,26,72,18239892
Colorado,58091,14,3.3,4,9,14,24,8.5,19,88,1055,29821,16,453100,4790,4807,23242,2337,40,48,3591969,1210209,226769,11,143595,269358,4976,17769,23685,5.6,,16,73,2919907
Connecticut,38493,14,3.4,3.9,8,13,29,8,23,89,432,15290,9,201146,3038,3097,15622,3450,47,55,2263655,610040,148009,12,161107,186850,3286,8323,13494,7.6,,18,76,1777570
Delaware,13471,18,3.8,4.6,9,16,34,7.5,25,80,149,5864,18,60910,736,451,2918,4495,51,56,616027,149688,37901,15,132129,59414,1002,4710,4211,7.5,,15,79,451927
District of Columbia,8978,15,3.3,3.9,10,14,28,8.7,20,100,43,9327,22,23635,873,863,3973,4509,34,41,461175,221287,32895,22,198673,58448,1992,8218,3317,9.5,,21,32,379090
Florida,282304,18,4,4.5,9,15,26,7,26,87,3503,110794,18,2716165,15655,13322,39798,4203,44,45,13503528,3390310,781496,17,115410,1192656,14979,98111,92013,7.8,,19,78,9559753
Georgia,143179,19,4.1,4.8,10,17,33,6.3,27,70,1606,67720,23,1387604,7116,5574,16812,4295,42,46,6147772,1830420,330968,20,122453,760762,9428,39544,36347,8.6,,16,78,4852255
Hawaii,14779,15,3.3,3.7,8,13,26,7.8,24,90,169,8093,18,53289,1275,1260,3915,1982,42,44,921548,264204,75395,10,156110,67613,958,4049,4410,4.1,,26,68,698429
Idaho,19254,15,3.9,4.4,7,16,30,7.5,23,67,363,6863,18,187336,1178,1209,4197,2123,41,43,1045155,297195,47789,12,109976,75639,1302,3672,6820,6.8,,14,78,807123
Illinois,155530,17,3.6,4.2,8,15,32,8.6,25,87,1557,81012,18,907738,10295,10307,33822,4447,44,49,7788362,2401521,591615,14,136273,710917,12529,51759,44389,9.4,,17,72,6129176
Indiana,97951,19,4.1,4.8,8,20,35,6.6,31,68,817,35430,23,565717,4504,3930,12104,4322,44,52,3989755,1071954,236034,15,110334,390337,8074,25472,28315,9.1,,13,81,3158697
Iowa,38226,14,3.1,4.1,7,17,34,8.4,26,73,461,16044,16,144986,2343,2203,5555,3134,53,54,1946463,549438,87660,12,114538,150268,4672,8804,10982,8.2,,12,80,1583657
Kansas,37334,17,3.6,4.5,7,17,36,6.7,27,73,413,15286,22,254180,2293,1788,6245,3645,46,49,1746617,522025,88010,13,116972,147710,3934,10592,11410,7.5,,13,81,1436563
Kentucky,78388,22,5,5.5,9,25,36,6.6,32,66,981,20911,29,275158,2908,2948,11544,5028,41,46,2644849,712068,134249,19,104503,263236,4722,9824,22424,8.7,,14,81,1962584
Louisiana,77733,22,4.6,5.6,11,23,36,5,32,72,1203,36131,30,391933,3241,2641,15211,4947,43,44,2695344,724367,171408,24,108488,381701,4434,25218,22341,9.4,,16,82,2002968
