State,County,Life expectancy,Premature age-adjusted mortality,Child mortality,Infant mortality,Frequent physical distress,Diabetes prevalence,HIV prevalence,Food insecurity,Limited access to healthy foods,Drug overdose deaths,Motor vehicle crash deaths,Insufficient sleep,Uninsured adults,Other primary care providers,High school graduation,Disconnected youth,Reading scores,Math scores,School segregation,School funding adequacy,Gender pay gap,Median household income,Children eligible for free or reduced price lunch,Residential segregation - Black/white,Childcare cost burden,Childcare centers,Homicides,Suicides,Firearm fatalities,Juvenile arrests,Traffic volume,Homeownership,Severe housing cost burden,Broadband access,Population,% female,% rural
State,County,Life Expectancy,# Deaths,# Deaths,# Deaths,% Frequent Physical Distress,% Adults with Diabetes,# HIV Cases,# Food Insecure,# Limited Access,# Drug Overdose Deaths,# Motor Vehicle Deaths,% Insufficient Sleep,# Uninsured,Other Primary Care Provider Rate,High School Graduation Rate,% Disconnected Youth,Average Grade Performance,Average Grade Performance,Segregation index,Spending per-pupil,Gender Pay Gap,Median Household Income,% Enrolled in Free or Reduced Lunch,Segregation index,% household income required for childcare expenses,# childcare centers,Homicide Rate,# Deaths,# Firearm Fatalities,Juvenile Arrest Rate,Traffic Volume,# Homeowners,# Households with Severe Cost Burden,% Broadband Access,Population,% female,# rural residents
Alabama,,74.8,88086.0,2912.0,3240.0,15,12,13875.0,788250,418731.0,2572.0,6902.0,40,425108.0,101.0,92.0,8.0,2.9,2.7,0.29,10102.0,0.74,53958.0,55.0,57.0,24.0,,11.0,4043.0,5451.0,,220,1306505,213588.0,80,4921532,51.7,1957932.0
Alabama,Autauga,76.6,836.0,27.0,30.0,14,11,104.0,8670,7106.0,14.0,74.0,38,4050.0,45.0,89.0,,3.1,2.9,0.06,8600.0,0.72,67565.0,45.0,28.0,18.0,15.0,6.0,52.0,49.0,8.0,155,16088,2862.0,83,56145,51.5,22921.0
Alabama,Baldwin,77.7,3377.0,97.0,84.0,13,9,328.0,28590,14466.0,118.0,252.0,36,17611.0,70.0,90.0,6.0,3.2,3.0,0.09,10046.0,0.75,71135.0,46.0,40.0,17.0,66.0,3.0,214.0,153.0,26.0,134,64716,9296.0,85,229287,51.6,77060.0
Alabama,Barbour,72.9,539.0,17.0,,19,17,105.0,5250,2865.0,,50.0,41,2027.0,61.0,85.0,,2.4,2.0,0.04,8813.0,0.73,38866.0,60.0,20.0,24.0,8.0,11.0,20.0,32.0,24.0,102,5775,1055.0,65,24589,47.2,18613.0
Alabama,Bibb,73.6,460.0,15.0,,16,13,40.0,3680,102.0,16.0,41.0,40,1693.0,145.0,92.0,,2.7,2.6,0.09,9909.0,0.79,50907.0,59.0,48.0,21.0,5.0,10.0,18.0,20.0,,27,5428,650.0,76,22136,46.8,15663.0
Alabama,Blount,74.2,1143.0,38.0,31.0,16,11,35.0,8380,1440.0,31.0,124.0,39,6076.0,26.0,95.0,14.0,2.9,2.8,0.11,9021.0,0.85,55203.0,52.0,52.0,22.0,16.0,7.0,61.0,59.0,6.0,43,16132,1722.0,80,57879,50.6,51562.0
Alabama,Bullock,73.8,203.0,,,18,18,52.0,1610,3529.0,,36.0,45,706.0,90.0,93.0,,2.1,2.0,0.01,10229.0,0.68,33124.0,75.0,31.0,36.0,5.0,15.0,,13.0,12.0,40,2531,387.0,61,9976,45.3,5607.0
Alabama,Butler,73.5,441.0,14.0,,17,15,65.0,3280,1449.0,,53.0,42,1621.0,82.0,93.0,,2.5,2.1,0.11,9541.0,0.82,42268.0,80.0,29.0,28.0,5.0,19.0,13.0,26.0,,58,4872,668.0,74,19504,53.4,14921.0
Alabama,Calhoun,72.8,2476.0,57.0,71.0,16,13,262.0,19660,18258.0,66.0,176.0,38,10100.0,71.0,93.0,7.0,2.9,2.8,0.21,10363.0,0.78,50259.0,60.0,46.0,19.0,33.0,10.0,126.0,149.0,32.0,171,31370,4144.0,80,113469,51.9,39955.0
