State,Life expectancy,Premature age-adjusted mortality,Child mortality,Infant mortality,Frequent physical distress,Diabetes prevalence,HIV prevalence,Food insecurity,Limited access to healthy foods,Drug overdose deaths,Motor vehicle crash deaths,Insufficient sleep,Uninsured adults,Other primary care providers,High school graduation,Disconnected youth,Reading scores,Math scores,School segregation,School funding adequacy,Gender pay gap,Median household income,Children eligible for free or reduced price lunch,Residential segregation - Black/white,Childcare cost burden,Childcare centers,Homicides,Suicides,Firearm fatalities,Juvenile arrests,Traffic volume,Homeownership,Severe housing cost burden,Broadband access,Population,% female,% rural
State,Life Expectancy,# Deaths,# Deaths,# Deaths,% Frequent Physical Distress,% Adults with Diabetes,# HIV Cases,# Food Insecure,# Limited Access,# Drug Overdose Deaths,# Motor Vehicle Deaths,% Insufficient Sleep,# Uninsured,Other Primary Care Provider Rate,High School Graduation Rate,% Disconnected Youth,Average Grade Performance,Average Grade Performance,Segregation index,Spending per-pupil,Gender Pay Gap,Median Household Income,% Enrolled in Free or Reduced Lunch,Segregation index,% household income required for childcare expenses,# childcare centers,Homicide Rate,# Deaths,# Firearm Fatalities,Juvenile Arrest Rate,Traffic Volume,# Homeowners,# Households with Severe Cost Burden,% Broadband Access,Population,% female,# rural residents
Alabama,74.8,88086.0,2912.0,3240.0,15,12,13875.0,788250,418731.0,2572.0,6902.0,40,425108.0,101.0,92.0,8.0,2.9,2.7,0.29,10102.0,0.74,53958.0,55.0,57.0,24.0,,11.0,4043.0,5451.0,,220,1306505,213588.0,80,4921532,51.7,1957932.0
Alaska,78.6,8663.0,472.0,429.0,10,7,724.0,86970,55887.0,402.0,529.0,33,66006.0,167.0,80.0,10.0,,,0.25,18545.0,0.83,79961.0,43.0,56.0,20.0,,8.0,991.0,866.0,30.0,259,165376,29087.0,87,731158,47.8,241338.0
Arizona,79.1,90822.0,3255.0,3213.0,12,10,17296.0,918940,554825.0,6127.0,6554.0,35,648267.0,109.0,78.0,8.0,,,0.25,8573.0,0.84,64652.0,51.0,49.0,23.0,,6.0,6810.0,5776.0,,479,1727176,346027.0,87,7421401,50.3,651358.0
Arkansas,75.5,50906.0,1883.0,1993.0,16,12,5939.0,499950,292058.0,1378.0,3956.0,37,223118.0,101.0,88.0,9.0,2.9,2.8,0.29,10179.0,0.81,51146.0,66.0,66.0,23.0,,9.0,2869.0,2980.0,,167,770477,118606.0,77,3030522,50.9,1278329.0
California,81.0,378883.0,12544.0,13801.0,11,9,132911.0,4011960,1204935.0,20454.0,27186.0,35,2657697.0,73.0,88.0,7.0,2.9,2.7,0.26,13582.0,0.87,83001.0,59.0,57.0,27.0,,5.0,21628.0,15801.0,7.0,1991,7241318,2487212.0,89,39368078,50.3,1880350.0
Colorado,80.0,58091.0,2243.0,2132.0,10,7,13025.0,566440,253692.0,3566.0,4258.0,30,386305.0,122.0,81.0,6.0,3.1,3.0,0.19,10957.0,0.83,77688.0,41.0,64.0,28.0,,4.0,6238.0,4248.0,14.0,554,1415324,291404.0,90,5807719,49.6,696435.0
Connecticut,80.1,38493.0,991.0,1154.0,10,8,10597.0,428800,152556.0,3654.0,1987.0,34,176870.0,145.0,89.0,5.0,3.2,3.0,0.22,20556.0,0.81,79723.0,43.0,62.0,23.0,,3.0,2018.0,955.0,,594,915408,218613.0,87,3557006,51.2,429155.0
Delaware,78.0,13471.0,416.0,519.0,12,11,3381.0,114190,56525.0,1280.0,856.0,37,51389.0,140.0,89.0,6.0,3.0,3.0,0.13,16302.0,0.85,71335.0,,45.0,24.0,,7.0,579.0,557.0,46.0,518,264915,47634.0,87,986809,51.7,149985.0
District of Columbia,78.0,8978.0,347.0,446.0,10,10,14041.0,70480,9664.0,989.0,272.0,36,21358.0,198.0,69.0,6.0,2.9,2.8,0.35,22406.0,0.88,91957.0,,69.0,24.0,277.0,20.0,223.0,640.0,24.0,3580,122648,46785.0,86,712816,52.6,0.0
