State,Premature death,Poor or fair health,Poor physical health days,Poor mental health days,Low birthweight,Adult smoking,Adult obesity,Food environment index,Physical inactivity,Access to exercise opportunities,Alcohol-impaired driving deaths,Sexually transmitted infections,Teen births,Uninsured,Primary care physicians,Dentists,Mental health providers,Preventable hospital stays,Mammography screening,Flu vaccinations,High school completion,Some college,Unemployment,Children in poverty,Income inequality,Children in single-parent households,Social associations,Violent crime,Injury deaths,Air pollution - particulate matter,Drinking water violations,Severe housing problems,Driving alone to work,Long commute - driving alone
State,Deaths,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low birthweight,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,# Alcohol-Impaired Driving Deaths,# Chlamydia Cases,Teen Birth Rate,# Uninsured,# Primary Care Physicians,# Dentists,# Mental Health Providers,Preventable Hospitalization Rate,% With Annual Mammogram,% Vaccinated,# Completed High School,# Some College,# Unemployed,% Children in Poverty,80th Percentile Income,# Children in Single-Parent Households,# Associations,Annual Average Violent Crimes,# Injury Deaths,Average Daily PM2.5,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,# Workers who Drive Alone
Alabama,88086.0,21,4.8,5.6,10.0,21,36,5.3,31,57.0,1255.0,31228.0,28.0,457718.0,3228.0,2429.0,5818.0,4875.0,42.0,42.0,2905059,761762,131065.0,21.0,106150.0,339392.0,5960,23307.0,21249.0,9.0,,14,85.0,2095195
Alaska,8663.0,16,3.6,3.9,6.0,17,31,7.0,22,65.0,138.0,6254.0,23.0,79260.0,714.0,744.0,4542.0,2509.0,36.0,37.0,450260,138592,27196.0,12.0,144129.0,36389.0,843,5325.0,3673.0,6.2,,21,68.0,351387
Arizona,90822.0,18,4.0,4.7,7.0,16,32,6.5,24,82.0,1112.0,43058.0,22.0,789960.0,4857.0,4681.0,11215.0,2666.0,41.0,45.0,4258137,1209223,282069.0,18.0,119971.0,428549.0,4070,29750.0,32367.0,5.8,,18,75.0,3179988
Arkansas,50906.0,24,5.0,5.6,9.0,21,38,4.8,30,56.0,706.0,17196.0,33.0,261617.0,2052.0,1452.0,7597.0,4178.0,39.0,47.0,1766362,451914,81952.0,21.0,99117.0,198144.0,3627,15352.0,12833.0,9.1,,14,82.0,1294646
California,378883.0,18,3.7,3.9,7.0,10,26,8.9,22,93.0,5185.0,236719.0,16.0,2947957.0,31852.0,34789.0,161625.0,3067.0,37.0,43.0,22378605,7515252,1908093.0,15.0,160999.0,2004812.0,23575,164253.0,108182.0,12.9,,26,72.0,18239892
Colorado,58091.0,14,3.3,4.0,9.0,14,24,8.5,19,88.0,1055.0,29821.0,16.0,453100.0,4790.0,4807.0,23242.0,2337.0,40.0,48.0,3591969,1210209,226769.0,11.0,143595.0,269358.0,4976,17769.0,23685.0,5.6,,16,73.0,2919907
Connecticut,38493.0,14,3.4,3.9,8.0,13,29,8.0,23,89.0,432.0,15290.0,9.0,201146.0,3038.0,3097.0,15622.0,3450.0,47.0,55.0,2263655,610040,148009.0,12.0,161107.0,186850.0,3286,8323.0,13494.0,7.6,,18,76.0,1777570
Delaware,13471.0,18,3.8,4.6,9.0,16,34,7.5,25,80.0,149.0,5864.0,18.0,60910.0,736.0,451.0,2918.0,4495.0,51.0,56.0,616027,149688,37901.0,15.0,132129.0,59414.0,1002,4710.0,4211.0,7.5,,15,79.0,451927
District of Columbia,8978.0,15,3.3,3.9,10.0,14,28,8.7,20,100.0,43.0,9327.0,22.0,23635.0,873.0,863.0,3973.0,4509.0,34.0,41.0,461175,221287,32895.0,22.0,198673.0,58448.0,1992,8218.0,3317.0,9.5,,21,32.0,379090
Florida,282304.0,18,4.0,4.5,9.0,15,26,7.0,26,87.0,3503.0,110794.0,18.0,2716165.0,15655.0,13322.0,39798.0,4203.0,44.0,45.0,13503528,3390310,781496.0,17.0,115410.0,1192656.0,14979,98111.0,92013.0,7.8,,19,78.0,9559753
Georgia,143179.0,19,4.1,4.8,10.0,17,33,6.3,27,70.0,1606.0,67720.0,23.0,1387604.0,7116.0,5574.0,16812.0,4295.0,42.0,46.0,6147772,1830420,330968.0,20.0,122453.0,760762.0,9428,39544.0,36347.0,8.6,,16,78.0,4852255
